,carat,cut,color,clarity,depth,table,price,volume
0,1.21,Ideal,H,VS2,63.0,57.0,6134,190.73493000000002
1,0.28,Very Good,D,VVS2,64.0,56.0,532,45.921708
2,0.42,Premium,F,VS1,61.2,58.0,1103,69.338592
3,0.26,Ideal,H,IF,61.1,57.0,600,43.362176000000005
4,1.1,Good,G,SI1,63.4,57.0,4997,176.80283999999997
5,0.35,Ideal,F,SI1,62.2,56.0,583,56.698879999999996
6,0.31,Ideal,I,VS2,62.3,54.0,452,52.49244
7,0.43,Premium,H,SI1,60.2,57.0,919,71.65064799999999
8,0.51,Premium,I,SI2,60.4,59.0,956,84.14692
9,1.22,Ideal,I,VS1,61.9,55.7,6469,197.03509200000002
10,0.41,Very Good,D,SI1,63.2,57.0,947,67.6863
11,0.33,Premium,G,VVS1,61.9,59.0,1114,52.538976000000005
12,0.93,Ideal,I,SI1,62.5,55.0,3856,153.219997
13,0.71,Ideal,H,VS1,61.6,57.0,2175,117.98282999999999
14,0.47,Ideal,G,VVS2,62.2,53.0,1618,78.624
15,1.71,Premium,I,SI2,60.6,57.0,9760,281.324022
16,0.33,Very Good,E,VVS2,60.1,63.0,981,53.867250000000006
17,1.26,Very Good,G,SI1,61.7,60.0,6733,200.4036
18,0.75,Premium,G,SI1,60.9,58.0,2631,121.830676
19,0.76,Very Good,H,SI1,61.4,57.0,2557,127.00135800000001
20,0.31,Ideal,E,VVS2,62.4,53.0,791,51.044205
21,0.7,Premium,F,VVS2,58.7,60.0,3062,113.05650000000001
22,0.3,Ideal,D,VVS2,61.6,57.0,814,49.527072000000004
23,0.28,Ideal,F,VS1,60.2,56.0,598,48.00046999999999
24,0.9,Ideal,E,VS2,62.7,56.0,4770,146.468472
25,0.51,Ideal,J,SI1,62.5,56.0,988,82.384896
26,0.71,Very Good,I,VS2,61.1,60.0,2384,115.84544399999999
27,0.57,Ideal,H,VVS1,60.9,56.0,1949,94.296336
28,0.71,Very Good,F,SI2,60.5,62.0,2138,116.19082499999999
29,0.72,Very Good,E,SI1,63.3,56.0,3183,116.55252000000002
30,0.36,Ideal,G,VS1,62.3,57.0,678,59.053540000000005
31,0.3,Ideal,H,VS1,61.9,58.0,545,49.59792
32,0.9,Very Good,I,VS2,59.3,59.0,3992,147.33873
33,0.7,Good,D,VVS1,59.2,59.0,4198,114.058368
34,0.38,Premium,E,VS2,60.5,62.0,1112,62.59644000000001
35,0.67,Fair,I,VS2,57.2,70.0,1436,110.76915000000001
36,0.3,Premium,E,VS1,61.4,59.0,814,48.81254400000001
37,2.02,Premium,E,SI2,59.8,58.0,17825,327.19967999999994
38,2.0,Premium,G,SI2,61.1,60.0,13986,320.66198999999995
39,0.33,Ideal,H,SI1,63.0,57.0,610,53.626923
40,1.1,Ideal,F,I1,61.8,56.0,3745,180.22165
41,0.56,Very Good,E,VS2,61.7,56.0,1755,90.88064999999999
42,0.85,Premium,J,VS2,60.7,58.0,2295,138.047616
43,0.93,Good,J,SI1,63.7,54.0,2438,146.06865
44,0.53,Ideal,D,VS2,61.2,56.0,1857,86.75524
45,0.4,Very Good,G,VVS1,60.9,57.0,1123,66.48768
46,0.73,Ideal,F,SI2,61.9,55.0,2588,120.766164
47,1.14,Premium,I,SI1,62.2,58.0,4788,185.90624
48,1.02,Premium,E,SI1,61.4,58.0,5956,165.93012000000004
49,1.2,Ideal,G,VS1,62.6,54.3,8687,195.36399999999998
50,1.02,Ideal,F,VS2,62.6,57.0,7632,166.87424000000001
51,1.02,Premium,D,VVS2,61.4,58.0,10580,164.489688
52,1.2,Ideal,I,SI2,63.0,57.0,4596,192.32216000000003
53,1.0,Good,E,SI1,59.8,65.0,4213,164.59368
54,1.11,Premium,G,SI1,60.9,59.0,4096,180.79591200000002
55,0.39,Premium,F,VS1,60.6,55.0,1092,64.978848
56,1.07,Premium,H,SI1,63.0,57.0,5465,172.52438
57,1.14,Very Good,I,VS2,62.5,59.0,4785,183.24657000000002
58,0.58,Ideal,E,SI2,61.4,57.1,1392,95.16144
59,1.5,Good,G,SI2,64.3,57.0,8043,244.59408000000002
60,0.26,Ideal,G,VVS2,61.4,56.0,545,43.048961999999996
61,1.01,Good,I,SI2,61.8,62.0,3399,155.5242
62,0.4,Ideal,F,VS1,61.1,56.0,1050,66.07155
63,0.33,Premium,F,VS2,62.4,58.0,666,52.80445800000001
64,1.28,Ideal,F,VS1,61.7,55.0,11580,211.37673600000002
65,0.75,Ideal,D,VS2,62.4,55.0,3456,122.74481999999999
66,1.7,Premium,G,VS1,61.2,57.0,17492,277.56884
67,1.02,Ideal,D,SI1,62.8,56.0,6158,165.84094800000003
